"x","y","th","k","s"
39.2786,27.8791,-2.9647,-0.000162934,40.8653
39.3365,27.8895,-2.96471,-0.000198606,40.9241
39.3939,27.8998,-2.96473,-0.000239196,40.9825
39.451,27.91,-2.96474,-0.000284977,41.0405
39.5078,27.9201,-2.96476,-0.000336215,41.0982
39.5643,27.9302,-2.96478,-0.000397716,41.1556
39.6205,27.9403,-2.96481,-0.00050713,41.2127
39.6765,27.9503,-2.96486,-0.000736254,41.2696
39.7323,27.9602,-2.96492,-0.00116327,41.3262
39.7879,27.9702,-2.96503,-0.0018674,41.3827
39.8434,27.9801,-2.96519,-0.002928,41.4391
39.8987,27.9899,-2.96544,-0.00442389,41.4953
39.954,27.9998,-2.9658,-0.00643267,41.5514
40.0092,28.0096,-2.96631,-0.00903029,41.6075
40.0643,28.0193,-2.96699,-0.0122907,41.6635
40.1194,28.029,-2.96791,-0.0162859,41.7194
40.1745,28.0387,-2.96909,-0.0210858,41.7754
40.2297,28.0483,-2.97058,-0.0267586,41.8313
40.2848,28.0578,-2.97245,-0.0333714,41.8873
40.34,28.0673,-2.97475,-0.0409907,41.9433
40.3953,28.0766,-2.97754,-0.0496833,41.9994
40.4507,28.0857,-2.98088,-0.0595174,42.0555
40.5061,28.0947,-2.98484,-0.0705633,42.1117
40.5617,28.1035,-2.98951,-0.0828951,42.1679
40.6173,28.112,-2.99495,-0.0965915,42.2242
40.6731,28.1203,-3.00125,-0.11173,42.2806
40.729,28.1282,-3.00849,-0.128293,42.337
40.7849,28.1357,-3.01675,-0.146101,42.3935
40.841,28.1427,-3.02608,-0.164934,42.45
40.8972,28.1492,-3.03653,-0.184575,42.5066
40.9536,28.1552,-3.04813,-0.204806,42.5632
41.01,28.1605,-3.0609,-0.225404,42.6199
41.0665,28.165,-3.07486,-0.24614,42.6766
41.1231,28.1688,-3.09,-0.266775,42.7333
41.1798,28.1717,-3.10629,-0.287056,42.7901
41.2365,28.1737,-3.12371,-0.306719,42.8468
41.2933,28.1748,3.14098,-0.325487,42.9036
41.3501,28.1747,3.12148,-0.343071,42.9605
41.407,28.1736,3.10105,-0.359174,43.0173
41.4638,28.1713,3.07978,-0.373497,43.0742
41.5207,28.1678,3.05779,-0.385744,43.1312
41.5775,28.163,3.03521,-0.39563,43.1882
41.6343,28.1569,3.01218,-0.402891,43.2454
41.6911,28.1495,2.98884,-0.407287,43.3026
41.7478,28.1408,2.96538,-0.408613,43.3599
